Sec 0,PARAMS,Efficiency
AF,2;600_0.001_-0.00001_nan_nan_3/0,8.991644606220756
AF,2;600_0.002_-0.00001_nan_nan_3/0,18.825281270681522
AF,2;600_0.003_-0.00001_nan_nan_3/0,14.274321641297139
AK,2;600_0.001_-0.00001_nan_nan_3/0,30.55305176409999
AK,2;600_0.002_-0.00001_nan_nan_3/0,52.31879345866625
AK,2;600_0.003_-0.00001_nan_nan_3/0,51.49047128508912
AL,2;600_0.001_-0.00001_nan_nan_3/0,23.804512089809787
AL,2;600_0.002_-0.00001_nan_nan_3/0,20.969883419689076
AL,2;600_0.003_-0.00001_nan_nan_3/0,9.36571675302242
CH,2;600_0.001_-0.00001_nan_nan_3/0,23.71135482651029
CH,2;600_0.002_-0.00001_nan_nan_3/0,33.37383000850917
FS,2;600_0.001_-0.00001_nan_nan_3/0,-32.344475721323064
FS,2;600_0.002_-0.00001_nan_nan_3/0,-19.15363300492612
FS,2;600_0.003_-0.00001_nan_nan_3/0,-6.719563687543998
GK,2;600_0.001_-0.00001_nan_nan_3/0,91.40938416422323
GK,2;600_0.002_-0.00001_nan_nan_3/0,42.73167155425223
GK,2;600_0.003_-0.00001_nan_nan_3/0,41.677838290741526
GZ,2;600_0.001_-0.00001_nan_nan_3/0,182.805820167288
GZ,2;600_0.002_-0.00001_nan_nan_3/0,111.90148698884832
GZ,2;600_0.003_-0.00001_nan_nan_3/0,18.224093866170968
HY,2;600_0.001_-0.00001_nan_nan_3/0,-76.34823008849526
HY,2;600_0.002_-0.00001_nan_nan_3/0,-33.39369469026551
HY,2;600_0.003_-0.00001_nan_nan_3/0,-24.527654867256647
IR,2;600_0.001_-0.00001_nan_nan_3/0,15.501849253921696
IR,2;600_0.002_-0.00001_nan_nan_3/0,4.556179058793522
IR,2;600_0.003_-0.00001_nan_nan_3/0,4.935594949623772
LK,2;600_0.001_-0.00001_nan_nan_3/0,38.35183472093742
LK,2;600_0.002_-0.00001_nan_nan_3/0,9.821114708603114
LK,2;600_0.003_-0.00001_nan_nan_3/0,-0.5026210299105772
ME,2;600_0.001_-0.00001_nan_nan_3/0,104.7100179694528
ME,2;600_0.002_-0.00001_nan_nan_3/0,67.33265947888594
ME,2;600_0.003_-0.00001_nan_nan_3/0,42.91616127583118
MG,2;600_0.001_-0.00001_nan_nan_3/0,-25.004536381782117
MG,2;600_0.002_-0.00001_nan_nan_3/0,25.999818544728626
MG,2;600_0.003_-0.00001_nan_nan_3/0,46.04790419161674
MN,2;600_0.001_-0.00001_nan_nan_3/0,56.203315649867825
MN,2;600_0.002_-0.00001_nan_nan_3/0,32.53846153846144
MN,2;600_0.003_-0.00001_nan_nan_3/0,34.258090185676345
MT,2;600_0.001_-0.00001_nan_nan_3/0,8.17992292870899
MT,2;600_0.002_-0.00001_nan_nan_3/0,5.566088631984565
MT,2;600_0.003_-0.00001_nan_nan_3/0,8.677456647398838
NK,2;600_0.001_-0.00001_nan_nan_3/0,24.98527276498688
NK,2;600_0.002_-0.00001_nan_nan_3/0,9.895872225679433
NM,2;600_0.001_-0.00001_nan_nan_3/0,59.38079071766267
NM,2;600_0.002_-0.00001_nan_nan_3/0,29.773399226471785
NM,2;600_0.003_-0.00001_nan_nan_3/0,53.07640739149122
PZ,2;600_0.001_-0.00001_nan_nan_3/0,0.5256742343440525
RL,2;600_0.001_-0.00001_nan_nan_3/0,1.3990069084626409
RL,2;600_0.002_-0.00001_nan_nan_3/0,-8.3113126079448
RL,2;600_0.003_-0.00001_nan_nan_3/0,11.827806563039719
RN,2;600_0.001_-0.00001_nan_nan_3/0,31.89488856857727
RN,2;600_0.002_-0.00001_nan_nan_3/0,46.7856746867723
RN,2;600_0.003_-0.00001_nan_nan_3/0,35.23672247477545
RT,2;600_0.001_-0.00001_nan_nan_3/0,-47.27980922098561
RT,2;600_0.002_-0.00001_nan_nan_3/0,0.4916534181239596
RT,2;600_0.003_-0.00001_nan_nan_3/0,6.3795707472177945
SG,2;600_0.001_-0.00001_nan_nan_3/0,10.712521055586627
SG,2;600_0.002_-0.00001_nan_nan_3/0,22.148792813026333
SG,2;600_0.003_-0.00001_nan_nan_3/0,33.71195957327344
SN,2;600_0.001_-0.00001_nan_nan_3/0,12.160156827933163
SN,2;600_0.002_-0.00001_nan_nan_3/0,-11.316318982097991
SN,2;600_0.003_-0.00001_nan_nan_3/0,8.475366178428757
SP,2;600_0.001_-0.00001_nan_nan_3/0,12.08734128510963
SP,2;600_0.002_-0.00001_nan_nan_3/0,6.978260869565222
SP,2;600_0.003_-0.00001_nan_nan_3/0,-8.84128510965756
SR,2;600_0.001_-0.00001_nan_nan_3/0,31.382426456450645
SR,2;600_0.002_-0.00001_nan_nan_3/0,28.901172851374707
SR,2;600_0.003_-0.00001_nan_nan_3/0,7.294751009421264
TT,2;600_0.001_-0.00001_nan_nan_3/0,42.29594239652194
TT,2;600_0.002_-0.00001_nan_nan_3/0,23.205325604564727
TT,2;600_0.003_-0.00001_nan_nan_3/0,11.143918123358375
VB,2;600_0.001_-0.00001_nan_nan_3/0,36.77555726364359
VB,2;600_0.002_-0.00001_nan_nan_3/0,56.17211119651541
VB,2;600_0.003_-0.00001_nan_nan_3/0,13.583781706379677
YD,2;600_0.001_-0.00001_nan_nan_3/0,165.73755803156956
YD,2;600_0.002_-0.00001_nan_nan_3/0,82.45584958217296
YD,2;600_0.003_-0.00001_nan_nan_3/0,48.468895078922934
