SECID,SECTOR,INSTRID,SECTYPE
ABIO,None,EQIN,1
ABRD,None,EQIN,1
AFKS,None,EQIN,1
AFLT,None,EQIN,1
ALRS,None,EQIN,1
AMEZ,None,EQIN,1
APRI,None,EQIN,1
APTK,None,EQIN,1
ARSA,None,EQIN,1
ASSB,None,EQIN,1
BISVP,None,EQIN,2
BLNG,None,EQIN,1
BSPB,None,EQIN,1
BSPBP,None,EQIN,2
CARM,None,EQIN,1
CBOM,None,EQIN,1
CHGZ,None,EQIN,1
CNTL,None,EQIN,1
CNTLP,None,EQIN,2
DIOD,None,EQIN,1
DVEC,None,EQIN,1
EELT,None,EQIN,1
ELFV,None,EQIN,1
ELMT,None,EQIN,1
FEES,None,EQIN,1
FESH,None,EQIN,1
FIXR,None,EQIN,1
FLOT,None,EQIN,1
GAZA,None,EQIN,1
GAZAP,None,EQIN,2
GAZC,None,EQIN,1
GAZP,None,EQIN,1
GAZS,None,EQIN,1
GAZT,None,EQIN,1
GECO,None,EQIN,1
GEMA,None,EQIN,1
GMKN,None,EQIN,1
GTRK,None,EQIN,1
HIMCP,None,EQIN,2
HYDR,None,EQIN,1
IRAO,None,EQIN,1
IRKT,None,EQIN,1
JNOS,None,EQIN,1
JNOSP,None,EQIN,2
KAZT,None,EQIN,1
KAZTP,None,EQIN,2
KBSB,None,EQIN,1
KCHE,None,EQIN,1
KCHEP,None,EQIN,2
KGKC,None,EQIN,1
KGKCP,None,EQIN,2
KLSB,None,EQIN,1
KLVZ,None,EQIN,1
KMAZ,None,EQIN,1
KRKOP,None,EQIN,2
KROT,None,EQIN,1
KROTP,None,EQIN,2
KRSB,None,EQIN,1
KRSBP,None,EQIN,2
KUZB,None,EQIN,1
KZOS,None,EQIN,1
KZOSP,None,EQIN,2
LIFE,None,EQIN,1
LPSB,None,EQIN,1
LSNG,None,EQIN,1
LSNGP,None,EQIN,2
LVHK,None,EQIN,1
MAGE,None,EQIN,1
MAGEP,None,EQIN,2
MAGN,None,EQIN,1
MFGS,None,EQIN,1
MFGSP,None,EQIN,2
MGKL,None,EQIN,1
MISB,None,EQIN,1
MISBP,None,EQIN,2
MOEX,None,EQIN,1
MRKC,None,EQIN,1
MRKK,None,EQIN,1
MRKP,None,EQIN,1
MRKS,None,EQIN,1
MRKU,None,EQIN,1
MRKV,None,EQIN,1
MRKY,None,EQIN,1
MRKZ,None,EQIN,1
MRSB,None,EQIN,1
MSNG,None,EQIN,1
MSRS,None,EQIN,1
MSTT,None,EQIN,1
MTLRP,None,EQIN,2
MTSS,None,EQIN,1
NAUK,None,EQIN,1
NFAZ,None,EQIN,1
NKHP,None,EQIN,1
NKNC,None,EQIN,1
NKNCP,None,EQIN,2
NKSH,None,EQIN,1
NLMK,None,EQIN,1
NMTP,None,EQIN,1
NSVZ,None,EQIN,1
OGKB,None,EQIN,1
OKEY,None,EQIN,D
OZPH,None,EQIN,1
PMSB,None,EQIN,1
PMSBP,None,EQIN,2
PRFN,None,EQIN,1
RASP,None,EQIN,1
RBCM,None,EQIN,1
RDRB,None,EQIN,1
RENI,None,EQIN,1
RGSS,None,EQIN,1
ROLO,None,EQIN,1
ROST,None,EQIN,1
RTKM,None,EQIN,1
RTKMP,None,EQIN,2
RTSB,None,EQIN,1
RTSBP,None,EQIN,2
RUAL,None,EQIN,1
RUSI,None,EQIN,1
RZSB,None,EQIN,1
SAGO,None,EQIN,1
SAGOP,None,EQIN,2
SARE,None,EQIN,1
SAREP,None,EQIN,2
SELG,None,EQIN,1
SGZH,None,EQIN,1
SLEN,None,EQIN,1
SNGS,None,EQIN,1
SNGSP,None,EQIN,2
SOFL,None,EQIN,1
STSB,None,EQIN,1
STSBP,None,EQIN,2
SVCB,None,EQIN,1
TASB,None,EQIN,1
TASBP,None,EQIN,2
TGKA,None,EQIN,1
TGKB,None,EQIN,1
TGKBP,None,EQIN,2
TGKN,None,EQIN,1
TORS,None,EQIN,1
TORSP,None,EQIN,2
TRMK,None,EQIN,1
TTLK,None,EQIN,1
TUZA,None,EQIN,1
UGLD,None,EQIN,1
UNAC,None,EQIN,1
UPRO,None,EQIN,1
USBN,None,EQIN,1
UTAR,None,EQIN,1
VEON-RX,None,EQIN,1
VGSB,None,EQIN,1
VGSBP,None,EQIN,2
VLHZ,None,EQIN,1
VRSB,None,EQIN,1
VRSBP,None,EQIN,2
WTCM,None,EQIN,1
WTCMP,None,EQIN,2
YAKG,None,EQIN,1
YKEN,None,EQIN,1
YKENP,None,EQIN,2
YRSB,None,EQIN,1
YRSBP,None,EQIN,2
ZAYM,None,EQIN,1
ZVEZ,None,EQIN,1
ASTR,None,EQIN,1
BANE,None,EQIN,1
BELU,None,EQIN,1
CHMF,None,EQIN,1
CNRU,None,EQIN,1
DATA,None,EQIN,1
DIAS,None,EQIN,1
HEAD,None,EQIN,1
IVAT,None,EQIN,1
LEAS,None,EQIN,1
LKOH,None,EQIN,1
LMBZ,None,EQIN,1
MBNK,None,EQIN,1
MDMG,None,EQIN,1
MGNT,None,EQIN,1
MTLR,None,EQIN,1
MVID,None,EQIN,1
NVTK,None,EQIN,1
OZON,None,EQIN,D
PHOR,None,EQIN,1
PIKK,None,EQIN,1
PLZL,None,EQIN,1
POSI,None,EQIN,1
PRMD,None,EQIN,1
RAGR,None,EQIN,1
RNFT,None,EQIN,1
ROSN,None,EQIN,1
SBER,None,EQIN,1
SBERP,None,EQIN,2
SFIN,None,EQIN,1
SIBN,None,EQIN,1
SMLT,None,EQIN,1
SPBE,None,EQIN,1
T,None,EQIN,1
TATN,None,EQIN,1
TATNP,None,EQIN,2
TRNFP,None,EQIN,2
VKCO,None,EQIN,1
VSEH,None,EQIN,1
VTBR,None,EQIN,1
WUSH,None,EQIN,1
X5,None,EQIN,1
YDEX,None,EQIN,1
AKRN,None,EQIN,1
AQUA,None,EQIN,1
AVAN,None,EQIN,1
BANEP,None,EQIN,2
BRZL,None,EQIN,1
CHKZ,None,EQIN,1
CHMK,None,EQIN,1
DELI,None,EQIN,1
DZRD,None,EQIN,1
DZRDP,None,EQIN,2
ENPG,None,EQIN,1
ETLN,None,EQIN,1
EUTR,None,EQIN,1
GCHE,None,EQIN,1
GEMC,None,EQIN,1
HNFG,None,EQIN,1
IGST,None,EQIN,1
IGSTP,None,EQIN,2
KFBA,None,EQIN,1
KMEZ,None,EQIN,1
KOGK,None,EQIN,1
KRKN,None,EQIN,1
KRKNP,None,EQIN,2
LENT,None,EQIN,1
LNZL,None,EQIN,1
LNZLP,None,EQIN,2
LSRG,None,EQIN,1
MGNZ,None,EQIN,1
MGTS,None,EQIN,1
MGTSP,None,EQIN,2
NNSB,None,EQIN,1
NNSBP,None,EQIN,2
OMZZP,None,EQIN,2
PAZA,None,EQIN,1
PRMB,None,EQIN,1
QIWI,None,EQIN,D
RKKE,None,EQIN,1
RTGZ,None,EQIN,1
SVAV,None,EQIN,1
SVET,None,EQIN,1
SVETP,None,EQIN,2
TNSE,None,EQIN,1
UKUZ,None,EQIN,1
UNKL,None,EQIN,1
URKZ,None,EQIN,1
UWGN,None,EQIN,1
VJGZ,None,EQIN,1
VJGZP,None,EQIN,2
VSMO,None,EQIN,1
VSYD,None,EQIN,1
VSYDP,None,EQIN,2
ZILL,None,EQIN,1
